name,category,unit,manufacturer,stock,min_stock,price,expiry_date,batch_number,description,is_active
"Alk - Needle Terumo 23g X 1 1/4",MEDICAL_BHP,Pcs,,0,,,,,,1
"Alk - Needle Terumo 26g X 1/2",MEDICAL_BHP,Pcs,,105,,,,,,1
"Alk - Needle Terumo 27g X 1/2",MEDICAL_BHP,Pcs,,0,,,,,,1
"Alk - Nurse Cap Onemed",MEDICAL_BHP,Pcs,Onehealth,2400,,,,,,1
"Alk - Nurse Cap Remedi",MEDICAL_BHP,Pcs,,0,,,,,,1
"Alk - Nurse Cup Sinar Ogan",MEDICAL_BHP,Pcs,,0,,,,,,1
"Alkohol 70% 1liter",MEDICAL_BHP,Pcs,,0,,,,,,1
"alkohol Swab",MEDICAL_BHP,Pcs,,0,,,,,,1
"Alkohol Swabs",MEDICAL_BHP,Pcs,Onemed,55,,,,,,1
"Alk - Sarung Tangan Non Steril L",MEDICAL_BHP,Pcs,Onehealth,900,,,,,,1
"Alk - Sarung Tangan Non Steril Size M",MEDICAL_BHP,Pcs,Onehealth,900,,,,,,1
"Alk - Sarung Tangan Non Steril Size S",MEDICAL_BHP,Pcs,Onehealth,0,,,,,,1
"Alk - Sarung Tangan Steril No 7,5",MEDICAL_BHP,Pcs,,0,,,,,,1
"Alk - Selang Extension Onemed 150 cm",MEDICAL_BHP,Pcs,Onehealth,15,,,,,,1
"Alk - Selang Nasal Dewasa",MEDICAL_BHP,Pcs,,0,,,,,,1
"Alk - Spuit 10 Cc Onemed",MEDICAL_BHP,Pcs,Onehealth,160,,,,,,1
"Alk - Spuit 1 Cc Onemed",MEDICAL_BHP,Pcs,Onehealth,211,,,,,,1
"Alk - Spuit 3 Cc Onemed",MEDICAL_BHP,Pcs,Onehealth,308,,,,,,1
"Alk - Spuit 50 cc Syringe Pump",MEDICAL_BHP,Pcs,,0,,,,,,1
"Alk - Spuit 50 cc Terumo",MEDICAL_BHP,Pcs,,0,,,,,,1
"Alk - Spuit 5 Cc Onemed",MEDICAL_BHP,Pcs,Onehealth,320,,,,,,1
"Alk-Suction Catheter No.10",MEDICAL_BHP,Pcs,Onehealth,6,,,,,,1
"Alk -tegaderm Film",MEDICAL_BHP,Pcs,,0,,,,,,1
"Alk - Threeway",MEDICAL_BHP,Pcs,Onehealth,63,,,,,,1
"Alk - Tranfusion Set/blood Set",MEDICAL_BHP,Pcs,Onehealth,38,,,,,,1
"Baycide Ready To Use 5 L",MEDICAL_BHP,Pcs,Onehealth,4,,,,,,1
"Baymedika Enzymatic Detergent 1 L",MEDICAL_BHP,Pcs,,6,,,,,,1
"Benang Aurolon Nylon 8-0",MEDICAL_BHP,Pcs,,11,,,,,,1
"Benang Proline 3.0",MEDICAL_BHP,Pcs,,0,,,,,,1
"benang proline 4.0",MEDICAL_BHP,Pcs,,0,,,,,,1
"Benang Vicryl 4.0",MEDICAL_BHP,Pcs,,0,,,,,,1
"Benang Vicryl 6",MEDICAL_BHP,Pcs,,21,,,,,,1
"Citomed Antiseptic Handscrub 5L",MEDICAL_BHP,Pcs,,0,,,,,,1
"Citomed Handsanitizer Liquid 500 Ml",MEDICAL_BHP,Pcs,,0,,,,,,1
"Cotton Bud Non Steril",MEDICAL_BHP,Pcs,Selection,1100,,,,,,1
"Cotton Swab Steril M",MEDICAL_BHP,Pcs,Onemed,35,,,,,,1
"Cresent Knife",MEDICAL_BHP,Pcs,,0,,,,,,1
"Decapore 2.5 Cm X 9,1 M",MEDICAL_BHP,Pcs,,0,,,,,,1
"Dermaplast Plaster",MEDICAL_BHP,Pcs,Onehealth,400,,,,,,1
"Eye Drape BPJS",MEDICAL_BHP,Pcs,,0,,,,,,1
"Handrub Antiseptic Medika",MEDICAL_BHP,Pcs,,23,,,,,,1
"Hand Sanitizer - Sos",MEDICAL_BHP,Pcs,,0,,,,,,1
"Hand Sanitizer- Sos 500 Ml",MEDICAL_BHP,Pcs,,0,,,,,,1
"Handsanitizer Spray 100 ml",MEDICAL_BHP,Pcs,,0,,,,,,1
"Hand Sanitizer-stefanol 500ml",MEDICAL_BHP,Pcs,,0,,,,,,1
"Hypafix 10 cm x 5 m",MEDICAL_BHP,Pcs,Onehealth,0,,,,,,1
"Id Band Blue Dewasa",MEDICAL_BHP,Pcs,Onehealth,200,,,,,,1
"Id Band Pink Dewasa",MEDICAL_BHP,Pcs,Onehealth,200,,,,,,1
"Id Band Red Dewasa",MEDICAL_BHP,Pcs,Onehealth,0,,,,,,1
"Id Band Yellow Dewasa",MEDICAL_BHP,Pcs,Onehealth,0,,,,,,1
"Infus Set Anak",MEDICAL_BHP,Pcs,Onehealth,2,,,,,,1
"Infus Set Pediatric Terumo",MEDICAL_BHP,Pcs,,0,,,,,,1
"KACA MATA OPERASI BPJS",MEDICAL_BHP,Pcs,Onehealth,237,,,,,,1
"Kaca Mata Pelindung Hitam",MEDICAL_BHP,Pcs,,0,,,,,,1
"Kaca Mata Pelindung Putih Orange",MEDICAL_BHP,Pcs,,0,,,,,,1
"Kapas Pembalut 1 kg",MEDICAL_BHP,Pcs,,8,,,,,,1
"Kary Uni",MEDICAL_BHP,Pcs,,0,,,,,,1
"kasa hydrofil 100 yard x 80 cm indohusada",MEDICAL_BHP,Pcs,Indohusada,1,,,,,,1
"Nald Insulin",MEDICAL_BHP,Pcs,Onehealth,12,,,,,,1
"nurse cup M-i",MEDICAL_BHP,Pcs,,0,,,,,,1
"Plastik Limbah Infeksius 100 x 120",MEDICAL_BHP,Pcs,,15,,,,,,1
"Plesterin Bulat",MEDICAL_BHP,Pcs,,0,,,,,,1
"Safety Box 12,5 L",MEDICAL_BHP,Pcs,,0,,,,,,1
"Safety Box 5 L",MEDICAL_BHP,Pcs,,8,,,,,,1
"sarung tangan steril one health 7.5",MEDICAL_BHP,Pcs,,0,,,,,,1
"schirmer test",MEDICAL_BHP,Pcs,Optitech,20,,,,,,1
"spuit 20 cc",MEDICAL_BHP,Pcs,,0,,,,,,1
"Threeway Onemed",MEDICAL_BHP,Pcs,,0,,,,,,1
"Ultrasonic Gel",MEDICAL_BHP,Pcs,Onehealth,8,,,,,,1
