code,category,description,is_eye_related,is_favorite
H32.0,H32,Chorioretinal inflammation infectious and parasitic dis ec,t,f
H32.8,H32,Other chorioretinal disorders in diseases ec,t,f
H33.0,H33,"RRD , ARR ( WITH Break ), Attached Retina",t,f
H33.1,H33,Retinoschisis and retinal cysts,t,f
H33.2,H33,"RD, ABLATIO RETINA ( RETINAL DETACHMENT without break )",t,f
H33.3,H33,"RETINAL HOLE, RETINAL TEAR",t,f
H33.4,H33,TRACTIONAL DETACHMENT OF RETINA (TRD) (ART),t,f
H34.1,H34,CRAO ( Central retinal artery occlusion),t,f
H34.2,H34,BRAO,t,f
H34.8,H34,CRVO/ BRVO/HRVO (BRANCH RETINAL VASCULAR OCLUTION),t,f
H35.0,H35,"HIPERTENSI, IPCV/ VASCULITIS (Background retinopathy and retinal vascular changes)/NVE",t,f
H35.1,H35,ROP ( RETINOPHATY OF PREMATURI),t,f
H35.2,H35,PDR/NPDR - PROLIVERATIF RETINOPHATY/PVR,t,f
H35.3,H35,"MACULA PUCKERING, EPIRETINAL MEMBRANE, WET AMD, MAKULA HOLE, ERM, MAKULA DEGENERATION, epiretinal membrane, macula pucker,SIKATRIKS MAKULA/MACULA ATROPI CME(CISTOID MACULA EDEMA)/ SILICONE OIL REMOVAL (SOR), ARMD",t,f
H35.4,H35,LATICE RETINA,t,f
H35.5,H35,"STARGARD, RETINITIS PIGMENTOSA,WWOP",t,f
H35.6,H35,MAKULA HAEMORAGE/subhyloid bleeding,t,f
H35.7,H35,"CSR, CSCR, PED, CSC",t,f
H35.8,H35,"MAKULA EDEMA, CSME, MACULAR INFARCTION, RETINAL THINNING",t,f
H35.9,H35,"PVP, DMR (Retinal disorder, unspecified)",t,f
H40.0,H40,HTO (Glaucoma suspect)/hipertensi okuli,t,f
H40.1,H40,"POAG, PEX, NTG (Primary open-angle glaucoma)",t,f
H40.2,H40,PACG / OCLUDABLE ANGEL (Primary angle-closure glaucoma) / GLAUKOMA AKUT,t,t
H40.3,H40,Glaucoma secondary to eye trauma,t,f
H40.4,H40,UVEITIS GLOUCOMA (Glaucoma secondary to eye inflammation),t,f
H40.5,H40,GLAUCOMA PHACOMORPHIC (Glaucoma secondary to other eye disorders) GLUKOMA SEKUNDER/ PSEUDOFAKIA GLUKOMA/ PHACOLYTIC GLOUCOM/ NEOVASKULAR GLAUCOMA ( NVG ),t,f
H40.6,H40,Glaucoma secondary to drugs/STEROID INDUCED glukoma,t,f
H40.8,H40,", G.CHRONIC, APHAKIC GLOUCOMA (Other glaucoma)",t,f
H40.9,H40,"Glaucoma, unspecified",t,f
H42.0,H42,"Glaucoma in endocrine, nutritional and metabolic disease",t,f
H42.8,H42,Glaucoma in other diseases classified elsewhere,t,f
H43.0,H43,Vitreous prolapsed,t,f
H43.1,H43,Vitreous haemorrhage,t,f
H43.2,H43,ASTEROID HYOLISIS(Crystalline deposits in vitreous body),t,f
H43.3,H43,FLOATER(Other vitreous opacities),t,t
H43.8,H43,"VITREO MAKULAR, (POSTERIOR VITREOS DETACHMENT)(Other disorders of vitreous body)/ PVD/VITRITIS FIBROSIS VITREOUS",t,f
H43.9,H43,"Disorder of vitreous body, unspecified",t,f
H44.0,H44,Purulent endophthalmitis,t,f
H44.1,H44,PANUVEITIS / ENDOPHTHALMITIS,t,f
H44.2,H44,Degenerative myopia / MIOPIC CNV,t,f
H44.3,H44,Other degenerative disorders of globe,t,f
H44.4,H44,Hypotony of eye,t,f
H44.5,H44,"GLOUKOMA ABSOLUTE, PHTISIS BULBI (Degenerated conditions of globe)",t,t
H44.6,H44,"Retained (old) intraocular foreign body, magnetic",t,f
H44.7,H44,"Retained (old) intraocular foreign body, nonmagnetic",t,f
H44.8,H44,Other disorders of globe,t,f
H44.9,H44,"Disorder of globe, unspecified",t,f
H46,H46,PAPILITIS(Optic neuritis),t,f
H47.0,H47,"AION, NAION,PION ( Disorders of optic nerve, not elsewhere classified)",t,f
H47.1,H47,"Papilloedema, unspecified",t,f
H47.2,H47,PAPIL GLOUKOMATOUS( Optic atrophy)/LARGE PHYSIOLOGIC CUPPING,t,f
H47.3,H47,Other disorders of optic disc/ DIABETIC PAPILOPATY,t,f
H47.4,H47,Disorders of optic chiasm,t,f
H47.5,H47,Disorders of other visual pathways,t,f
H47.6,H47,"CORTICAL BLINDS (Disorders of visual )/IMPAIRMENT, CVI",t,f
H47.7,H47,"Disorder of visual pathways, unspecified",t,f
H49.0,H49,Third [oculomotor] nerve palsy,t,f
H49.1,H49,Fourth [trochlear] nerve palsy/SO PALSY,t,f
H49.2,H49,Sixth [abducent] nerve palsy,t,f
H49.3,H49,Total (external) ophthalmoplegia,t,f
H49.4,H49,Progressive external ophthalmoplegia/ THS (TOLOSA HUNT SYNDROME),t,f
H49.8,H49,Other paralytic strabismus,t,f
H49.9,H49,"Paralytic strabismus, unspecified",t,f
H50.0,H50,Convergent concomitant strabismus/ESOTROPIA,t,f
H50.1,H50,Convergent concomitant strabismus/ CONGENITAL EXOTROPIA/ EXOTROPIA,t,f
H50.2,H50,Vertical strabismus/HIPOTROPIA,t,f
H50.3,H50,(Intermittent heterotropia),t,f
H50.4,H50,Other and unspecified heterotropia,t,f
H50.5,H50,"Heterophoria , ESHOPORIA/ EXOPHORIA",t,f
H50.6,H50,Mechanical strabismus,t,f
H50.8,H50,Other specified strabismus,t,f
H50.9,H50,"Strabismus, unspecified",t,f
H51.0,H51,Palsy of conjugate gaze,t,f
H51.1,H51,Convergence insufficiency and excess,t,f
H51.2,H51,Internuclearophthalmoplegia,t,f
H51.8,H51,Other specified disorders of binocular movement,t,f
H51.9,H51,"Disorder of binocular movement, unspecified",t,f
H52.0,H52,Hypermetropia,t,f
H52.1,H52,"MAC, Myopia",t,f
H52.2,H52,Astigmatism,t,f
H52.3,H52,Anisometropia and aniseikonia,t,f
H52.4,H52,Presbyopia,t,f
H52.5,H52,PARESE (Disorders of accommodation),t,f
H52.6,H52,Other disorders of refraction(EMETROPIA),t,f
H52.7,H52,"Disorder of refraction, unspecified",t,f
H53.0,H53,AMBLIYOPIA(Amblyopia ex anopsia),t,f
H53.1,H53,"ASTHENOPIA, PHOTOPSIA(Subjective visual disturbances)TRANSIENT VISUAL LOSS/computer vision syndrome",t,f
H53.2,H53,Diplopia,t,f
H53.3,H53,Other disorders of binocular vision,t,f
H53.4,H53,Visual field defects/ hemianopsia/ TUNNEL VISION / SCOTOMA,t,f
H53.5,H53,Colour vision deficiencies/ buta warna parsial,t,f
H53.6,H53,Night blindness,t,f
H53.8,H53,Other visual disturbances (emetropia),t,f
H53.9,H53,"Visual disturbance, unspecified",t,f
H54.0,H54,"Blindness, both eyes keraqgluko",t,f
H54.1,H54,"Blindness, one eye, low vision other eye/BLIND EYE",t,f
H54.2,H54,"Low vision, both eyes",t,f
H54.3,H54,"Unqualified visual loss, both eyes",t,f
H54.4,H54,"Blindness, one eye",t,f
H54.5,H54,"Low vision, one eye",t,f
H54.6,H54,"Unqualified visual loss, one eye",t,f
H54.7,H54,VISUAL DECREASE(Unspecified visual loss),t,f
H55,H55,NYSTAGMUS (Nystagmus and other irregular eye movement),t,f
H57.0,H57,Anomalies of pupillary function/PPUPIL MYDRIASIS/IRIDOPLEGA,t,f
H57.1,H57,Ocular pain,t,f
H57.8,H57,Other specified disorders of eye and adnexa,t,f
H57.9,H57,"BOWEN’S(Disorder of eye and adnexa, unspecified)",t,f
H58.0,H58,Anomalies of pupillary function in diseases ec,t,f
H58.1,H58,Visual disturbances in diseases classified elsewhere,t,f
H58.8,H58,Other specified disorders of eye and adnexa in diseases ec,t,f
H59.0,H59,Vitreous syndrome following cataract surgery/ EPINUCLOUS IN BMD/RETAIN CORTEX,t,f
H59.8,H59,TASS (Other postprocedural disorders of eye and adnexa),t,f
H59.9,H59,"Postprocedural disorder of eye and adnexa, unspecified",t,f
I77.0,I77,Carotid Cavernous Fistule,t,f
D21.0,D21,LIPOMA,t,f
C69.2,C69,RETINOBLASTOMA,t,f
G44.2,G44,TENSION HEADACHE,t,f
C43.1,C43,MELANOMA,t,f
C44.1,C44,TUMOR CANTRUS MEDIAL,t,f
D31.5,D31,KISTA PUNCTUM LACRIMAL,t,f
D31.6,D31,TUMOR ORBITA,t,f
D31.0,D31,BENIGN NEOPLAS CONJUNCTIVA / TUMOR/LIPOMA/KISTA CARUNCULA,t,f
D23.1,D23,PAPILOMA EYELID/TUMOR PALPEBRA /VERUCA EYELID /KISTA DERMOID /SUPERIOR(CONJUNGTIVA)/LYMPOMA/BASALIOMA,t,f
D09.2,D09,BOWEN’S TUMOR,t,f
D22.1,D22,NEVUS/nevus conjungtiva/NEVUS PALPEBRA’,t,f
Q12.0,Q12,CONGENITAL KATARAK,t,f
Q15.0,Q15,BUPHTHALMOS/ glukoma juvenile (Congenital glaucoma),t,f
Q11.1,Q11,ANOPTHALMIA,t,f
Q11.2,Q11,MICROPTHITHALMIA,t,f
Q13.4,Q13,ANOMALY PETERS/MICRO CORNEA,t,f
Q13.0,Q13,COLOBOMA IRIS,t,f
Q13.8,Q13,ANTERIOR SEGMENT DYSGENERESIS,t,f
Q10.0,Q10,PTOSIS CONGINETAL,t,f
Q14.0,Q14,PHPV / congenital Vitreous Opacity,t,f
Q14.2,Q14,PUPIL CVI DEVELOPMENTAL,t,f
Q10.3,Q10,DISTRICHIASIS/EPIBLEFHARON,t,f
Q15.8,Q15,ocular melanosis,t,f
Z01.0,Z01,(NORMAL) POST OP,t,t
Z96.1,Z96,PSEOUDOFAKIA,t,t
B02.3,B02,HERVES ZOSTER ( Kalauadahasilpemeriksaan LAB ),t,f
B07,B07,VERUCA VULGARIS ( Kalauadahasilpemeriksaan LAB ),t,f
S05.0,S05,abrasion corneal/VULNUS LASERATUM PS/VULNUS LASERATM CORNEA,t,f
T26.0,T26,TRAUMA PANAS (BURN)/ TRAUMA THERMIS(LUKA BAKAR)/TRAUMA TERMAL,t,f
S00,S00,TRAUMA TUMPUL,t,f
S05.1,S05,TRAUMA PADA MATA/ hematoma/TRAUMA OCULI NON PERFORASI,t,f
S05.2,S05,IRIS PROLAPSE TRAUMATIC/LASERASI RUFTUR CONJUNGTIVA/TRAUMA OCULI PERFORASI/TARSUS,t,f
T26.5,T26,TRAUMA CHEMISS/TRAUMA KIMIA (CORROSIONS),t,f
T26,T26,VULNUS LASERASI,t,f
S05.9,S05,CLOSE GLOBE INJURY/ CONJUNGTIVA,t,f
S01.1,S01,"EYELID LASERASI, /LASERASI PALPEBRA/SUTUR PALPEBRA",t,f
S04.0,S04,TON ( trauma optic neuropaty),t,f
S00.2,S00,insect bite ( DigigitSerangga ),t,f
E05.0,E05,GRAVE’S OPTHALMOPATHY,t,f
T85.2,T85,IOL GLISTENING(SESUDAH OP),t,f
T15.0,T15,CORPAL CORNEA ( Foreign Body in Cornea ),t,f
T15.1,T15,CORPAL CONJUNCTIVA,t,f
T15.9,T15,CORPAL PALPEBRA/EYELID,t,f
G24.5,G24,BLEFAROSPASME,t,f
