code,category,description,is_eye_related,is_favorite
H00.0,H00,"Hordeolum and other deep inflammation of eyelid / ABSES PALPEBRA, meibomitis",t,f
H00.1,H00,Chalazion,t,f
H01.0,H01,"Blepharitis, PCZEMTUS, DERMATITIS",t,f
H01.1,H01,Noninfectious dermatoses of eyelid/ DERMATITIS ALEGI,t,f
H01.8,H01,GRANULOMA (Other specified inflammation of eyelid) / HEMANGIOMA,t,f
H01.9,H01,"Inflammation of eyelid, unspecified/ LITHIASIS EYELID",t,f
H02.0,H02,Entropion and trichiasis of eyelid/ TRICHIASIS/,t,f
H02.1,H02,Ectropion of eyelid,t,f
H02.2,H02,Lagophthalmos hip,t,f
H02.4,H02,Ptosis of eyelid,t,f
H02.5,H02,TIC (Other disorders affecting eyelid function),t,f
H02.6,H02,Xanthelasma of eyelid,t,f
H02.7,H02,Other degenerative disorders of eyelid and periocular area,t,f
H02.8,H02,"ATEROMA CYSTH, MEIBOMIAN, PALPEBRA EDEMA(Other specified disorders of eyelid)DERMATOCHALASIS/BAGGY EYELID/MILIA/KISTA PALP",t,f
H02.9,H02,"Disorder of eyelid, unspecified",t,f
H03.0,H03,Parasitic infestation of eyelid in diseases ec,t,f
H03.1,H03,Involvement of eyelid in other infectious diseases e,t,f
H03.8,H03,Involvement of eyelid in other diseases classified elsewhere,t,f
H04.0,H04,Dacryoadenitis,t,f
H04.1,H04,"DES, SMK(Other disorders of lacrimal gland)",t,f
H04.2,H04,Epiphora,t,f
H04.3,H04,DACRYOCYTITIS(Acute and unspecified inflammation of lacrimal passages)/ CANALICULITIS LACRIMAL,t,f
H04.4,H04,Chronic inflammation of lacrimal passages,t,f
H04.5,H04,OBSTRUKSI/ ODNL(Stenosis and insufficiency of lacrimal passages),t,f
H04.6,H04,Other changes in lacrimal passages,t,f
H04.8,H04,Other disorders of lacrimal system,t,f
H04.9,H04,"Disorder of lacrimal system, unspecified",t,f
H05.0,H05,CELLULITIS OF ORBIT (Acute inflammation of orbit),t,f
H05.1,H05,Chronic inflammatory disorders of orbit/PSEDO ITA,t,f
H05.2,H05,"ANOPTHALMIK SOCKET, (Exophthalmic conditions)/ PROPTOSIS (LEBIH SPESIFIK)",t,f
H05.3,H05,Deformity of orbit,t,f
H05.4,H05,Enophthalmos,t,f
H05.5,H05,Retained (old) foreign body folowingpenetratng wound orbit,t,f
H05.8,H05,"Other disorders of orbit/throid/TAO/ THYROID EYE DISEASE(TED), Apex Orbita Syndrome",t,f
H05.9,H05,"Disorder of orbit, unspecified",t,f
H06.0,H06,Disorders of lacrimal system in diseases ec,t,f
H06.1,H06,Parasitic infestation of orbit in diseases ec,t,f
H06.2,H06,Dysthyroid exophthalmos,t,f
H06.3,H06,Other disorders of orbit in diseases classified elsewhere,t,f
H10.0,H10,Mucopurulent conjunctivitis,t,f
H10.1,H10,Acute atopic conjunctivitis,t,f
H10.2,H10,Other acute conjunctivitis,t,f
H10.3,H10,"Acute conjunctivitis, unspecified",t,f
H10.4,H10,Chronic conjunctivitis/ VERNAL CONJUNGTIVITIS/hipertropi papil/ CONJ. ALERGI/reaksifolikular,t,f
H10.5,H10,Blepharoconjunctivitis,t,f
H10.8,H10,PINGUECULITIS(Other conjunctivitis,t,f
H10.9,H10,"RED EYE, MATA MERAH (Conjunctivitis, unspecified)",t,f
H11.0,H11,Pterygium/ RECUREN PTERIGIUM,t,f
H11.1,H11,PINGUECULA/ LITHIASIS CONJUNGTIVA/ACQUEL MELANOSIS,t,f
H11.2,H11,Conjunctival scars/GRANULOMA CONJUNGTIVITIS/ SYMBLEPHARON,t,f
H11.3,H11,"CONJ. BLEEDING,SCH(Conjunctivalhaemorrhage)/AHC",t,f
H11.4,H11,Conj. Cyst (Other conjunctival vascular disorders and cysts),t,f
H11.8,H11,(Other specified disorders of conjunctiva)/pseudopterygium,t,f
H11.9,H11,"Disorder of conjunctiva, unspecified",t,f
H15.0,H15,SCLERITIS,t,f
H15.1,H15,EPISCLERITIS,t,f
H15.8,H15,RUFTUR SKELERA/ STAPHYLOMA,t,f
H16.0,H16,"Corneal ulcer, ULKUS KORNEA, PERFORASI KORNEA/PUK (Peripheral ulcerative keratitis)",t,f
H16.1,H16,PUNCTATE EPITELAL KERATITIS (Other superficial keratitis without conjunctivitis)/ KERATITIS NUMULAR/PEE,t,f
H16.2,H16,Keratoconjunctivitis/ VERNAL KERATOCONJUNCTIVITIS,t,f
H16.3,H16,ABSES KORNEA(Interstitial and deep keratitis),t,f
H16.4,H16,Corneal neovascularization,t,f
H16.8,H16,Other keratitis,t,f
H16.9,H16,"Keratitis, unspecified/ IRITASI KORNEA",t,f
H17.0,H17,LEUKOMA KORNEA(Adherentleukoma),t,f
H17.1,H17,Other central corneal opacity,t,f
H17.8,H17,"Other corneal scars and opacities (NEBULAR, BURN)",t,f
H17.9,H17,"Corneal scar and opacity, unspecified/ SIKATRIK KORNEA",t,f
H18.0,H18,Corneal pigmentatioSns and deposits,t,f
H18.1,H18,Bullous keratopathy,t,f
H18.2,H18,KORNEA EDEMA (Other corneal oedema),t,f
H18.3,H18,Changes in corneal membranes/ RUPTURE KORNEA,t,f
H18.4,H18,Corneal degeneration,t,f
H18.5,H18,MAKULA KORNEA (Hereditary corneal dystrophies),t,f
H18.6,H18,Keratoconus/CORNEAL BULGING,t,f
H18.7,H18,STHAPYLOMA/ DESCEMETOCELE (Other corneal deformities),t,f
H18.8,H18,DECOMPEMSATION CORNEA/ EROTION/ HYPOXIA (Other specified disorders of cornea)/LIMBAL DERMOID / LASERASI KORNEA/ LIMBAL STEM CELL DEFICIENCY,t,f
H18.9,H18,"CORPUS ALIENUM, KERATHOPATY (Disorder of cornea, unspecified)",t,f
H19.0,H19,Scleritis and episcleritis in diseases classified elsewhere,t,f
H19.1,H19,Herpesviral keratitis and keratoconjunctivitis(STROMAL),t,f
H19.2,H19,Keratitis and keratoconjunctivitisothinfec/parasit dis ec,t,f
H19.3,H19,Keratitis and keratoconjunctivitis in other diseases ec,t,f
H19.8,H19,Other disorders of sclera and cornea in diseases ec,t,f
H20.0,H20,Acute and trabacuteiridocyclitis/ HYPOPYON,t,f
H20.1,H20,Chronic iridocyclitis,t,f
H20.2,H20,Lens-induced iridocyclitis,t,f
H20.8,H20,FUCH’S HETEROCROMIC SYNDROME (Other iridocyclitis),t,f
H20.9,H20,"UVEITIS(Iridocyclitis, unspecified)",t,t
H21.0,H21,Hyphaema,t,f
H21.1,H21,Other vascular disorders of iris and ciliary body,t,f
H21.2,H21,Degeneration of iris and ciliary body/IRIS ATRHOPY,t,f
H21.3,H21,"Cyst of iris, ciliary body and anterior chamber",t,f
H21.4,H21,Pupillary membranes/ sclusiopupilae,t,f
H21.5,H21,"SYNECTIOLISIS, IRIDODIALISIS",t,f
H21.8,H21,IRIS PROLAPSE NON TRAUMATIC,t,f
H21.9,H21,"Disorder of iris and ciliary body, unspecified",t,f
H22.0,H22,Iridocyclitis in infectious and parasitic diseases ec,t,f
H22.1,H22,Iridocyclitis in other diseases classified elsewhere,t,f
H22.8,H22,Other disorders of iris and ciliary body in diseases ec,t,f
H25.0,H25,PSC/ SUB CAPSULAR CATARAK (Senile incipient cataract),t,f
H25.1,H25,KATARAK IMATURE (Senile nuclear cataract),t,f
H25.2,H25,"Senile cataract, morgagnian type/KATARAK HIPERMATUR",t,f
H25.8,H25,Other senile cataract(LENSTIKNESS),t,f
H25.9,H25,"Senile cataract, unspecified",t,f
H26.0,H26,"Infantile, juvenile and presenile cataract",t,f
H26.1,H26,Traumatic cataract,t,f
H26.2,H26,Complicated cataract,t,f
H26.3,H26,Drug-induced cataract/STEROID INDUCED CATARAK,t,f
H26.4,H26,"PCO(After-cataract)/ KORTEKS RETAIN/ EPINUKLEOUS/IOL KLASIFIKASI, RLM",t,f
H26.8,H26,Other specified cataract,t,f
H26.9,H26,"Cataract, unspecified",t,f
H27.0,H27,Aphakia,t,f
H27.1,H27,"SUBLUKSASI, NUKLEUS DROP, (Dislocation of lens), SO EMULSIFIKASI",t,f
H27.8,H27,Other specified disorders of lens/ZONULAR DYALISIS,t,f
H27.9,H27,"Disorder of lens, unspecified",t,f
H28.0,H28,Diabetic cataract( PAKAI DU E11.3),t,f
H28.1,H28,"Cataract in other endocrine, nutritional and metabolic dis",t,f
H28.2,H28,Cataract in other diseases classified elsewhere,t,f
H28.8,H28,Other disorders of lens in diseases classified elsewhere,t,f
H30.0,H30,Focal chorioretinal inflammation,t,f
H30.1,H30,Disseminated chorioretinal inflammation,t,f
H30.2,H30,Posterior cyclitis,t,f
H30.8,H30,Other chorioretinal inflammations,t,f
H30.9,H30,"CHORIORETITIS(Chorioretinal inflammation, unspecified), NEURORETINITIS",t,f
H31.0,H31,RETINALSCAR(Chorioretinal scars/ Sikatriks Retina/Makula),t,f
H31.1,H31,Choroidal degeneration/PPCRA/pigmented paravenousretinochoroidal atrophy,t,f
H31.2,H31,Hereditary choroidal dystrophy/BLETTIS CRYTALINE/ GYRATE ATROPHY,t,f
H31.3,H31,Choroidalhaemorrhage and rupture,t,f
H31.4,H31,Choroidal detachment,t,f
H31.8,H31,Other specified disorders of choroid/TIGROID FUNDUS,t,f
H31.9,H31,"Disorder of choroid, unspecified",t,f
